gaps_mm,interaction_best,interaction_claimed_minimum,no_interaction_best,no_interaction_claimed_minimum
2,0.993869889662999,1e-06,0.00613011033700133,0.17941384787589
3,0.938724901143031,0.998979495504474,0.0612750988569694,0.338261083528489
4,0.720305822389951,0.93845229968638,0.279694177610048,0.570800945501889
4.61,0.49916296565401,0.765693807703215,0.50083703434599,0.756266030765576
5,0.353214284070847,0.618697022391753,0.646785715929153,0.869508051583737
6,0.090600853131734,0.326063322923224,0.909399146868266,0.993830182454977
7,0.0107959489133881,0.157911617470853,0.989204051086612,0.999977095479947
8,0.000561242278395586,0.0674340780032525,0.999438757721604,1e-06
