trial,seed,usable_gap_step_mm,completed_tests,run_status,interactions,no_interactions,stage1_count,stage2_count,stage3_count,first_stage2_test,first_stage3_test,immediate_duplicate_requests,out_of_bounds_requests,off_grid_requests,fitted_middle_mm,middle_error_mm,fitted_overall_variation_mm,overall_variation_error_mm,middle_95_lower_mm,middle_95_upper_mm,middle_truth_inside_95,variation_95_lower_mm,variation_95_upper_mm,variation_truth_inside_95,expected_interactions_from_truth,observed_minus_expected_interactions,standardized_outcome_balance,mean_build_error_mm,mean_measurement_error_mm,truth_likelihood_distance,truth_inside_joint_95,maximum_doptimal_raw_difference_mm,all_hard_checks_passed,audit_message
1,202609141,0.05,62,complete,28,34,5,3,54,6,9,0,0,0,2.43805503181753,-0.061944968182468,0.49685126452269,-0.00314873547730998,2.23402286826426,2.63629488017833,1,0.341998588131089,0.830328666256088,1,29.7412905711923,-1.74129057119234,-0.593501902967983,0.00334703950674812,1.47701572368463e-05,0.411194387455453,1,0,1,PASS
2,202609142,0.1,62,complete,32,30,5,17,40,6,23,0,0,0,2.49210861821558,-0.00789138178442128,0.426199273947559,-0.0738007260524408,2.31708851855845,2.66871251004434,1,0.299474643673797,0.680113529171844,1,32.2379902430369,-0.237990243036876,-0.0796237770611011,0.00514694494389887,-0.00229402216887812,0.56162735174798,1,0,1,PASS
3,202609143,0.15,62,complete,29,33,5,6,51,6,12,0,0,0,2.46510061531901,-0.0348993846809931,0.457394081278664,-0.0426059187213365,2.27086805718502,2.65806180503262,1,0.319416862650734,0.727746635599953,1,29.9796627392521,-0.979662739252099,-0.350330960796346,3.26104069909635e-05,0.000457744646101534,0.301945871503086,1,0,1,PASS
4,202609144,0.25,62,complete,31,31,5,3,54,6,9,0,0,0,2.58300916074227,0.0830091607422654,0.344187621465036,-0.155812378534964,2.43381196159521,2.73191666380285,1,0.24197089928707,0.539049604121054,1,28.2334387451412,2.7665612548588,0.899945390397363,0.00195014977300227,-0.00200944332845391,3.51708511316036,1,0,1,PASS
5,202609145,0.5,62,complete,30,32,5,12,45,6,18,0,0,0,2.49133983364358,-0.00866016635641653,0.527441194051109,0.0274411940511086,2.24703658493607,2.73162681624525,1,0.367593552972512,0.813555314447121,1,30.4513184239078,-0.451318423907843,-0.193012047539306,0.0024787032787918,0.0015428608621747,0.078485635663526,1,0,1,PASS
