scenario,true_middle_mm,true_variation_mm,usable_step_mm,starting_variation_mm,article_count,first_seed,repetitions,overlap_runs,paused_runs,invariant_failures,nonfinite_requests,out_of_bounds_requests,off_grid_requests,immediate_duplicate_requests,invalid_stage_values,stage_reversals,budget_overruns,measurement_count_failures,invalid_fits,probability_direction_failures,missing_pause_reasons,replay_matches,middle_bias_mm,middle_rmse_mm,variation_bias_mm,variation_rmse_mm,median_run_seconds,maximum_run_seconds,execution_mode
29,5,1.5,0.1,0.25,20,202638141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.638449647702505,0.754042745154945,-0.656935985899029,0.804706948298743,0.1187742,0.1391412,serial
30,8.5,1.5,0.1,0.25,20,202639141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0257879406568286,0.366107878779635,-0.169092803638413,0.712701571355518,0.1096243,0.1195252,serial
31,1.5,0.15,0.15,0.25,20,202640141,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0529080955117907,0.0597466217945905,0.0304198991134661,0.0333121671928038,0.0083909,0.1017452,serial
32,5,0.15,0.15,0.25,20,202641141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0455979052151108,0.0455979052151108,0.0263692028957885,0.0263692028957885,0.0098161,0.0847294,serial
33,8.5,0.15,0.15,0.25,20,202642141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.00608486958509857,0.00608486958509857,0.0505331298636143,0.0505331298636143,0.011045,0.0859608,serial
34,1.5,0.25,0.15,0.25,20,202643141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.00261489396303927,0.0922311546778638,0.0804062956256736,0.147647587182425,0.1038219,0.1110305,serial
35,5,0.25,0.15,0.25,20,202644141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0368207744102946,0.15345403551173,-0.00407523548115832,0.046758980170534,0.0859916,0.1064252,serial
36,8.5,0.25,0.15,0.25,20,202645141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.062188565194095,0.062188565194095,-0.0272401237601702,0.0272401237601702,0.0110907,0.0891606,serial
37,1.5,0.5,0.15,0.25,20,202646141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.105539967642699,0.220207635452292,-0.134610098657464,0.158349064671893,0.1062973,0.1144691,serial
38,5,0.5,0.15,0.25,20,202647141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0326681019021553,0.113234046615546,-0.00224670620789889,0.151096168242103,0.1087219,0.113866,serial
39,8.5,0.5,0.15,0.25,20,202648141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0752026013288312,0.146419617828754,-0.115228210321193,0.134961422401399,0.1037374,0.1065441,serial
40,1.5,1,0.15,0.25,20,202649141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0855366441981415,0.262018051572988,-0.0465441627704968,0.48629694972935,0.1282133,0.1434052,serial
41,5,1,0.15,0.25,20,202650141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0292201171199032,0.066454800650663,-0.177503256769761,0.303774040198292,0.1143476,0.123168,serial
42,8.5,1,0.15,0.25,20,202651141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.427817656183188,0.531867549107834,0.0216417170483001,0.353449304444487,0.1225626,0.1412245,serial
43,1.5,1.5,0.15,0.25,20,202652141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0393591175337214,0.241312093243194,-0.338064249294332,0.457276566669882,0.1267856,0.1394438,serial
44,5,1.5,0.15,0.25,20,202653141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.292563337446499,0.743702178497589,-0.427501415453892,0.556508015727157,0.1187185,0.1251202,serial
45,8.5,1.5,0.15,0.25,20,202654141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0777140205207381,0.363095912764234,-0.643306405600278,0.8776917710791,0.0965931,0.1122538,serial
46,1.5,0.15,0.5,0.25,20,202655141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0100256,0.0106585,serial
47,5,0.15,0.5,0.25,20,202656141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0093588,0.0099572,serial
48,8.5,0.15,0.5,0.25,20,202657141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0095287,0.0107131,serial
49,1.5,0.25,0.5,0.25,20,202658141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0101027,0.0119549,serial
50,5,0.25,0.5,0.25,20,202659141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0091519,0.0111524,serial
51,8.5,0.25,0.5,0.25,20,202660141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0082142,0.0124249,serial
52,1.5,0.5,0.5,0.25,20,202661141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.133232149190166,0.249213532079142,0.0196884956719313,0.136636799647795,0.1019383,0.1231335,serial
53,5,0.5,0.5,0.25,20,202662141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.291360664878551,0.291360664878551,-0.0140633097936135,0.0140633097936135,0.0090668,0.1165972,serial
54,8.5,0.5,0.5,0.25,20,202663141,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.217556055785913,0.21783126016348,0.134090228716614,0.134363851367464,0.0085025,0.0936086,serial
55,1.5,1,0.5,0.25,20,202664141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.114175588547701,0.228981612516768,-0.141830145539629,0.265503599909937,0.1048669,0.1163898,serial
56,5,1,0.5,0.25,20,202665141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0755338858158074,0.217987462965746,-0.049597713714473,0.153633119064606,0.1141731,0.1384308,serial
57,8.5,1,0.5,0.25,20,202666141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000724537094838951,0.347601679069805,-0.0864663977270283,0.234011793247443,0.1046268,0.1223508,serial
58,1.5,1.5,0.5,0.25,20,202667141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0439193466535851,0.322400675688284,-0.303130683993705,0.643149471631684,0.1212655,0.1425866,serial
59,5,1.5,0.5,0.25,20,202668141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.258473934193691,0.427021194186577,-0.390122984667461,0.429480328258269,0.1153895,0.141576,serial
60,8.5,1.5,0.5,0.25,20,202669141,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.194335042458835,0.644040589074481,1.14269244569291,2.0368696424564,0.0732127,0.1231733,serial
61,1.5,0.15,0.05,1,20,202670141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0089513,0.0091129,serial
62,5,0.15,0.05,1,20,202671141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0158265108930014,0.0365850727860711,-0.0410714092809586,0.0560965968864253,0.0920926,0.1403401,serial
63,8.5,0.15,0.05,1,20,202672141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0088403,0.0113578,serial
64,1.5,0.25,0.05,1,20,202673141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0434297168551615,0.110505168815728,0.0102641803637579,0.0455539067192668,0.0980615,0.1207632,serial
65,5,0.25,0.05,1,20,202674141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0514598684830233,0.11944063467631,-0.102371981961613,0.117158379440736,0.1000049,0.1064909,serial
66,8.5,0.25,0.05,1,20,202675141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0273634430457643,0.0416814088977342,0.000341901754354168,0.0277140092862802,0.0930493,0.121055,serial
67,1.5,0.5,0.05,1,20,202676141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.193629054818655,0.323715326642768,-0.0741805903262058,0.128209835592364,0.1094931,0.1250198,serial
68,5,0.5,0.05,1,20,202677141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.111810809414327,0.223202024997303,-0.117144888746014,0.176151686199158,0.1090627,0.1193252,serial
69,8.5,0.5,0.05,1,20,202678141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0215662820287945,0.0917603527114678,-0.130883339652208,0.160244839199342,0.1005502,0.1098116,serial
70,1.5,1,0.05,1,20,202679141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0481676763661465,0.135984925786902,-0.201420327268147,0.279141570278948,0.1351969,0.1414445,serial
71,5,1,0.05,1,20,202680141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.161890902516797,0.18826384791789,-0.0830155665455107,0.540380038220414,0.1230248,0.1735788,serial
72,8.5,1,0.05,1,20,202681141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0650349130988914,0.324177146471015,-0.0908187898953152,0.365635463430715,0.1125994,0.1218984,serial
73,1.5,1.5,0.05,1,20,202682141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0474775967718725,0.513346956134684,-0.777870091954109,0.919968606145884,0.1262408,0.1559338,serial
74,5,1.5,0.05,1,20,202683141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.108835407695802,0.831243626245762,-0.294459592216871,0.33329452524286,0.1259547,0.1427423,serial
75,8.5,1.5,0.05,1,20,202684141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.240268961722247,0.458075795127827,0.135625785454811,0.397103518421513,0.1318747,0.1353534,serial
76,1.5,0.15,0.1,1,20,202685141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.169219269807667,0.169219269807667,0.0469405224131956,0.0469405224131956,0.0107282,0.1168083,serial
77,5,0.15,0.1,1,20,202686141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.00614162305339079,0.0718900265192541,-0.00129926084283957,0.0435605354783246,0.0927484,0.1073321,serial
78,8.5,0.15,0.1,1,20,202687141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0097145,0.0103838,serial
79,1.5,0.25,0.1,1,20,202688141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00575256454405319,0.0855163095631636,0.0327081608898013,0.0402149818332513,0.0853681,0.1229046,serial
80,5,0.25,0.1,1,20,202689141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0212233577371435,0.0619948170869483,-0.0741579895427532,0.10227427943731,0.1013212,0.118883,serial
81,8.5,0.25,0.1,1,20,202690141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0175998405939701,0.0175998405939701,0.00608499871463974,0.00608499871463974,0.0096753,0.0856836,serial
82,1.5,0.5,0.1,1,20,202691141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0175152830120813,0.276021529382007,-0.0248493360600993,0.152252004994315,0.1138847,0.1206656,serial
83,5,0.5,0.1,1,20,202692141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0896939273496448,0.151884773394267,-0.0961533169969002,0.158095124578057,0.1128665,0.1197104,serial
84,8.5,0.5,0.1,1,20,202693141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0501576720409581,0.191978384255861,-0.0285343156696375,0.180301716862881,0.1059178,0.1205782,serial
85,1.5,1,0.1,1,20,202694141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0738200750140227,0.428822952367652,0.152878210594109,0.613787216596074,0.1302386,0.1333347,serial
86,5,1,0.1,1,20,202695141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.209087518369658,0.512620451690194,-0.139346053378691,0.578009334782759,0.1065681,0.1282167,serial
87,8.5,1,0.1,1,20,202696141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.144622503438973,0.190031961528953,-0.401728225477961,0.422909112189594,0.1055555,0.1175904,serial
88,1.5,1.5,0.1,1,20,202697141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.392560878290386,0.632342968032629,-0.446227471235462,0.65283891492434,0.1218115,0.1255208,serial
89,5,1.5,0.1,1,20,202698141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.181681479206742,0.659943166657436,-0.622216522325338,0.92676171926969,0.1221663,0.1278879,serial
90,8.5,1.5,0.1,1,20,202699141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.314027752983392,0.484958262461039,0.0187818779587282,0.545337563210865,0.1297766,0.5944073,serial
