scenario,true_middle_mm,true_variation_mm,usable_step_mm,starting_variation_mm,article_count,first_seed,repetitions,overlap_runs,paused_runs,invariant_failures,nonfinite_requests,out_of_bounds_requests,off_grid_requests,immediate_duplicate_requests,invalid_stage_values,stage_reversals,budget_overruns,measurement_count_failures,invalid_fits,probability_direction_failures,missing_pause_reasons,replay_matches,middle_bias_mm,middle_rmse_mm,variation_bias_mm,variation_rmse_mm,median_run_seconds,maximum_run_seconds,execution_mode
2,5,0.15,0.05,0.25,20,202611141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0727483120124154,0.0887441400606813,-0.0363546610361177,0.0492954972989129,0.1772698,0.633933,serial
6,8.5,0.25,0.05,0.25,20,202615141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0023123617468638,0.0505730630639025,-0.0856883636890009,0.118604063575613,0.1023006,0.1081779,serial
10,1.5,1,0.05,0.25,20,202619141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.111941796972731,0.428386533408238,-0.370168436606721,0.49442782642299,0.1334122,0.1615993,serial
14,5,1.5,0.05,0.25,20,202623141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17692584607283,0.496538346105449,-0.531142929943942,0.664027805139228,0.1191371,0.1326576,serial
18,8.5,0.15,0.1,0.25,20,202627141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0707131606558573,0.0970261954088908,0.00926327928970326,0.0716843362842759,0.0903262,0.106275,serial
22,1.5,0.5,0.1,0.25,20,202631141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0458905774497663,0.286425460873121,-0.0894168888709049,0.128518369663266,0.1049127,0.1234189,serial
26,5,1,0.1,0.25,20,202635141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.284933771774366,0.373416107280013,-0.0485725401236381,0.322890117795419,0.1130768,0.1369235,serial
30,8.5,1.5,0.1,0.25,20,202639141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0257879406568286,0.366107878779635,-0.169092803638413,0.712701571355518,0.1096243,0.1195252,serial
34,1.5,0.25,0.15,0.25,20,202643141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.00261489396303927,0.0922311546778638,0.0804062956256736,0.147647587182425,0.1038219,0.1110305,serial
38,5,0.5,0.15,0.25,20,202647141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0326681019021553,0.113234046615546,-0.00224670620789889,0.151096168242103,0.1087219,0.113866,serial
42,8.5,1,0.15,0.25,20,202651141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.427817656183188,0.531867549107834,0.0216417170483001,0.353449304444487,0.1225626,0.1412245,serial
46,1.5,0.15,0.5,0.25,20,202655141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0100256,0.0106585,serial
50,5,0.25,0.5,0.25,20,202659141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0091519,0.0111524,serial
54,8.5,0.5,0.5,0.25,20,202663141,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.217556055785913,0.21783126016348,0.134090228716614,0.134363851367464,0.0085025,0.0936086,serial
58,1.5,1.5,0.5,0.25,20,202667141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0439193466535851,0.322400675688284,-0.303130683993705,0.643149471631684,0.1212655,0.1425866,serial
62,5,0.15,0.05,1,20,202671141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0158265108930014,0.0365850727860711,-0.0410714092809586,0.0560965968864253,0.0920926,0.1403401,serial
66,8.5,0.25,0.05,1,20,202675141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0273634430457643,0.0416814088977342,0.000341901754354168,0.0277140092862802,0.0930493,0.121055,serial
70,1.5,1,0.05,1,20,202679141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0481676763661465,0.135984925786902,-0.201420327268147,0.279141570278948,0.1351969,0.1414445,serial
74,5,1.5,0.05,1,20,202683141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.108835407695802,0.831243626245762,-0.294459592216871,0.33329452524286,0.1259547,0.1427423,serial
78,8.5,0.15,0.1,1,20,202687141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0097145,0.0103838,serial
82,1.5,0.5,0.1,1,20,202691141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0175152830120813,0.276021529382007,-0.0248493360600993,0.152252004994315,0.1138847,0.1206656,serial
86,5,1,0.1,1,20,202695141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.209087518369658,0.512620451690194,-0.139346053378691,0.578009334782759,0.1065681,0.1282167,serial
90,8.5,1.5,0.1,1,20,202699141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.314027752983392,0.484958262461039,0.0187818779587282,0.545337563210865,0.1297766,0.5944073,serial
94,1.5,0.25,0.15,1,20,202703141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0914867004550515,0.128000940386313,-0.0842875217518577,0.0874623122906801,0.1027281,0.1072052,serial
98,5,0.5,0.15,1,20,202707141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13957407398383,0.289287529312897,-0.0277333369117308,0.137280327515782,0.1315181,0.1834564,serial
102,8.5,1,0.15,1,20,202711141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.192865290889845,0.347963783190197,-0.0350150221233549,0.278660236772663,0.1147156,0.1289185,serial
106,1.5,0.15,0.5,1,20,202715141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0104523,0.0114371,serial
110,5,0.25,0.5,1,20,202719141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.227618392511456,0.227618392511456,0.0508263520546178,0.0508263520546178,0.0111506,0.1247647,serial
114,8.5,0.5,0.5,1,20,202723141,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.283106341871835,0.298534427050646,0.185936417464014,0.193380613621247,0.0120635,0.1139059,serial
118,1.5,1.5,0.5,1,20,202727141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.236548849115525,0.325215688454921,-0.529780452034004,0.628835818674526,0.1331491,0.141726,serial
122,5,0.15,0.05,2,20,202731141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0311601035220436,0.0411282167040951,-0.0566871016543653,0.0594166936489865,0.096997,0.1053185,serial
126,8.5,0.25,0.05,2,20,202735141,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11562300320598,0.205882505573227,0.134944607603743,0.213353285219077,0.0123778,0.1064897,serial
130,1.5,1,0.05,2,20,202739141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0716968194142269,0.290826732438365,-0.081879996579727,0.351128677295816,0.1353439,0.1396179,serial
134,5,1.5,0.05,2,20,202743141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.00544467062173535,0.452145379399713,-0.41315764315094,0.485128087771316,0.1332271,0.1379248,serial
138,8.5,0.15,0.1,2,20,202747141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0119319,0.0129727,serial
142,1.5,0.5,0.1,2,20,202751141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.121806687016369,0.131805456622689,-0.0889271240685853,0.094969060534324,0.112323,0.1223789,serial
146,5,1,0.1,2,20,202755141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.014732122897013,0.257752964294682,-0.27839688897621,0.393793427316635,0.1206363,0.1295229,serial
150,8.5,1.5,0.1,2,20,202759141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00803133152177153,0.560951401978268,-0.172235300587718,0.602787460784653,0.1195053,0.1335499,serial
154,1.5,0.25,0.15,2,20,202763141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.2453008758674,0.2453008758674,0.208461955794014,0.208461955794014,0.0106716,0.1088626,serial
158,5,0.5,0.15,2,20,202767141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0289212563875214,0.124475547859325,-0.140709269015116,0.200457219867417,0.107272,0.1174716,serial
162,8.5,1,0.15,2,20,202771141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0452132191866204,0.447337883332523,0.0661505527868275,0.221927616240189,0.1164103,0.1261501,serial
166,1.5,0.15,0.5,2,20,202775141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.010959,0.0115053,serial
170,5,0.25,0.5,2,20,202779141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.280950257640992,0.280950257640992,0.118321690368049,0.118321690368049,0.0111828,0.1239557,serial
174,8.5,0.5,0.5,2,20,202783141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0101698,0.0131701,serial
178,1.5,1.5,0.5,2,20,202787141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.211142170549051,0.467194784608293,-0.136671334044012,0.382080648618721,0.1263091,0.1551314,serial
182,5,0.15,0.05,0.25,62,202791141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0064239389551517,0.0188831919603108,-0.0126573323125123,0.046214989021724,0.2395667,0.2751908,serial
186,8.5,0.25,0.05,0.25,62,202795141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00365978297935747,0.0296799066952971,-0.045282595879884,0.0465474072085933,0.2154684,0.2360337,serial
190,1.5,1,0.05,0.25,62,202799141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0781438525806937,0.184752514403761,-0.068876863654184,0.246999982545009,0.247614,0.254836,serial
194,5,1.5,0.05,0.25,62,202803141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.287954062974229,0.363903801653597,0.218870620971005,0.314653057933138,0.2482679,0.2510819,serial
198,8.5,0.15,0.1,0.25,62,202807141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00546203621792038,0.0275272229926216,0.00662169338174028,0.021104557737479,0.2233027,0.2334257,serial
202,1.5,0.5,0.1,0.25,62,202811141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0385035229450052,0.0814557830486788,-0.0415022780297002,0.0627295976730512,0.2409704,0.2461301,serial
206,5,1,0.1,0.25,62,202815141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0845971726662091,0.178844559620153,-0.147738478715714,0.218325315497058,0.2401872,0.2975145,serial
210,8.5,1.5,0.1,0.25,62,202819141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.124275451156421,0.203234327190406,-0.215223356342508,0.236786718723154,0.2240028,0.2371663,serial
214,1.5,0.25,0.15,0.25,62,202823141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00881450180097936,0.0645973857903509,-0.0179328385387525,0.0367368674470761,0.2416006,0.2435384,serial
218,5,0.5,0.15,0.25,62,202827141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0367900414078635,0.122029736198137,-0.0930509102313332,0.124412695300545,0.2435859,0.2920843,serial
222,8.5,1,0.15,0.25,62,202831141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0101986918975378,0.149777055817667,-0.0754210341156783,0.154474513573338,0.2320059,0.2352089,serial
226,1.5,0.15,0.5,0.25,62,202835141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0309666,0.0341335,serial
230,5,0.25,0.5,0.25,62,202839141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0298025,0.0320576,serial
234,8.5,0.5,0.5,0.25,62,202843141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.073951011085823,0.105281272485845,-0.0198200128006167,0.0356964495291437,0.2105072,0.2279348,serial
238,1.5,1.5,0.5,0.25,62,202847141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.113424568880702,0.252312555350942,-0.0738929616115105,0.351271627895555,0.2470092,0.2629164,serial
242,5,0.15,0.05,1,62,202851141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0121912437663614,0.0209236002084964,0.00762743793177449,0.0303662733163378,0.2582383,0.2991485,serial
246,8.5,0.25,0.05,1,62,202855141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0174519383966874,0.0320581550315678,-0.0361739959757737,0.0475937027042766,0.203621,0.2307963,serial
250,1.5,1,0.05,1,62,202859141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0193797640572417,0.235894374092881,0.090591833106429,0.239491761423295,0.2457717,0.2694308,serial
254,5,1.5,0.05,1,62,202863141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0685160589326182,0.21393468792564,-0.325174172582641,0.398994998123635,0.2663897,0.3793288,serial
258,8.5,0.15,0.1,1,62,202867141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0101411951121383,0.0375496776139721,-0.00119569361168102,0.0356894384516604,0.1647978,0.2597047,serial
262,1.5,0.5,0.1,1,62,202871141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.000336032015802123,0.0947120907588707,-0.0161721495577287,0.129176331304139,0.25859,0.2625312,serial
266,5,1,0.1,1,62,202875141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.026034678597882,0.229836658780673,0.23360181423719,0.254458924365892,0.2291938,0.324584,serial
270,8.5,1.5,0.1,1,62,202879141,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.201140515545308,0.355946333616134,-0.258851469865769,0.337181254564948,0.2328484,0.2402157,serial
274,1.5,0.25,0.15,1,62,202883141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0239545053325082,0.0284542878698503,-0.0328071543614229,0.0423892748304005,0.2368966,0.2488892,serial
278,5,0.5,0.15,1,62,202887141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0353470793755683,0.112256513728295,0.00117233672475737,0.0826161443967179,0.4293621,0.4941413,serial
282,8.5,1,0.15,1,62,202891141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0858879162007661,0.184395767879815,-0.0088875732035514,0.223964435272477,0.2351631,0.247464,serial
286,1.5,0.15,0.5,1,62,202895141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0333928,0.0389376,serial
290,5,0.25,0.5,1,62,202899141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00473027093133638,0.136115971661939,0.0483951023992716,0.0729517764797142,0.1603104,0.2430279,serial
294,8.5,0.5,0.5,1,62,202903141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0677233742662704,0.102816256093755,-0.0225733794891431,0.0922139642537569,0.2355629,0.2455164,serial
298,1.5,1.5,0.5,1,62,202907141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0618155122461232,0.284735998984509,-0.0922226367132455,0.287187189843148,0.2483012,0.2547094,serial
302,5,0.15,0.05,2,62,202911141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.00780297372921468,0.012206249416208,-0.00214657613905164,0.0249030441991217,0.2393445,0.2595201,serial
306,8.5,0.25,0.05,2,62,202915141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0104094862345718,0.0104094862345718,-0.0228048162825648,0.0228048162825648,0.0356734,0.2322248,serial
310,1.5,1,0.05,2,62,202919141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.163075038506706,0.310352379535944,-0.248295795047053,0.258909468538159,0.2340486,0.2552564,serial
314,5,1.5,0.05,2,62,202923141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00940401323095124,0.150507727366814,-0.357644453104507,0.392195380802856,0.2558987,0.2662468,serial
318,8.5,0.15,0.1,2,62,202927141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0380571,0.0385273,serial
322,1.5,0.5,0.1,2,62,202931141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0496707116940013,0.127106218066568,0.00159949759767338,0.10917291414545,0.211253,0.2457694,serial
326,5,1,0.1,2,62,202935141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.141619201001595,0.228689817511009,-0.194835078699945,0.2822940437149,0.2610682,0.2751022,serial
330,8.5,1.5,0.1,2,62,202939141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.184291402522707,0.247994912915897,0.24135784064084,0.437628823406275,0.2396415,0.2589478,serial
334,1.5,0.25,0.15,2,62,202943141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0651097883811103,0.0651097883811103,0.15149428899977,0.15149428899977,0.0395454,0.2128148,serial
338,5,0.5,0.15,2,62,202947141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.000916508159842699,0.155514328659679,-0.0882597863946271,0.103704059658448,0.235096,0.2516975,serial
342,8.5,1,0.15,2,62,202951141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.100669615015391,0.133987490535316,-0.175371248820204,0.243181962141034,0.2336999,0.2535726,serial
346,1.5,0.15,0.5,2,62,202955141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0346434,0.0417339,serial
350,5,0.25,0.5,2,62,202959141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0515961444933544,0.0868038078140548,0.0371308886437196,0.0521549980803194,0.1577215,0.2371846,serial
354,8.5,0.5,0.5,2,62,202963141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.075912747361695,0.134819276640041,0.0136394285349565,0.0659638341892179,0.2004304,0.251239,serial
358,1.5,1.5,0.5,2,62,202967141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.00036464413878e-05,0.231055935422933,0.0661970216182408,0.229311292283384,0.2310711,0.2450811,serial
