scenario,true_middle_mm,true_variation_mm,usable_step_mm,starting_variation_mm,article_count,first_seed,repetitions,overlap_runs,paused_runs,invariant_failures,nonfinite_requests,out_of_bounds_requests,off_grid_requests,immediate_duplicate_requests,invalid_stage_values,stage_reversals,budget_overruns,measurement_count_failures,invalid_fits,probability_direction_failures,missing_pause_reasons,replay_matches,middle_bias_mm,middle_rmse_mm,variation_bias_mm,variation_rmse_mm,median_run_seconds,maximum_run_seconds,execution_mode
119,5,1.5,0.5,1,20,202728141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.102266951285319,0.450663120583585,0.0539241450715927,0.469359332061375,0.130376,0.1679411,serial
123,8.5,0.15,0.05,2,20,202732141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0121749,0.0132118,serial
127,1.5,0.5,0.05,2,20,202736141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.222103712158714,0.234274062601378,-0.111295940907733,0.173977140272407,0.1062912,0.1573981,serial
131,5,1,0.05,2,20,202740141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0869601507572419,0.231557378378958,-0.492863759406319,0.590469162972874,0.1114699,0.126468,serial
135,8.5,1.5,0.05,2,20,202744141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.083935293253823,0.285866131874556,-0.374251524222768,0.465929692415408,0.1245202,0.1339221,serial
139,1.5,0.25,0.1,2,20,202748141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0102244,0.0115354,serial
143,5,0.5,0.1,2,20,202752141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.134141691472043,0.186770844314234,-0.0299335903333675,0.158540721571956,0.1125095,0.1185411,serial
147,8.5,1,0.1,2,20,202756141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.28089604084546,0.33482059262972,-0.142396505111513,0.216184715377013,0.1197972,0.1271104,serial
151,1.5,0.15,0.15,2,20,202760141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0122949,0.014027,serial
155,5,0.25,0.15,2,20,202764141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0108583852967252,0.0748018963581811,-0.0415504179287355,0.053378950907836,0.0985477,0.1095896,serial
159,8.5,0.5,0.15,2,20,202768141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.114066592824768,0.221384800621908,-0.0673204563035883,0.117678532704183,0.0952501,0.114133,serial
163,1.5,1.5,0.15,2,20,202772141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0114586571855462,0.516693659912163,-0.245879396845602,0.499180240081467,0.1354418,0.1437117,serial
167,5,0.15,0.5,2,20,202776141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0094349,0.0115772,serial
171,8.5,0.25,0.5,2,20,202780141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0098015,0.0105544,serial
175,1.5,1,0.5,2,20,202784141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.356857286905222,0.657510354776142,0.0791281468508631,0.286759529653052,0.1217726,0.1261682,serial
179,5,1.5,0.5,2,20,202788141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00693917616133319,0.324569095263265,-0.0729915447583454,0.619159267224222,0.11752,0.1268879,serial
183,8.5,0.15,0.05,0.25,62,202792141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000322125375558002,0.040807830212923,0.00588910814526648,0.031911598078033,0.2163404,0.2282269,serial
187,1.5,0.5,0.05,0.25,62,202796141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0349644859666405,0.0591830926117285,-0.0433865102783192,0.0898073441696469,0.2430636,0.2528644,serial
191,5,1,0.05,0.25,62,202800141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0698371951461766,0.0907068974046153,-0.219048011211208,0.402675668594926,0.2334777,0.2672224,serial
195,8.5,1.5,0.05,0.25,62,202804141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0350734638561974,0.339884399916177,-0.0302288646570541,0.411653119208623,0.2415368,0.2486938,serial
199,1.5,0.25,0.1,0.25,62,202808141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.049858219840355,0.0724163766999419,0.000176653653099251,0.048444747392078,0.2276178,0.2720755,serial
203,5,0.5,0.1,0.25,62,202812141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0238092525447009,0.0868763681594801,-0.0511237712882003,0.0718541688192632,0.2333532,0.2496159,serial
207,8.5,1,0.1,0.25,62,202816141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0784162011277484,0.0935196343123426,-0.0196848659546794,0.261821357105503,0.2352119,0.2373937,serial
211,1.5,0.15,0.15,0.25,62,202820141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0351933834878988,0.0470810102338371,0.00674344474303852,0.0320388753721676,0.1619922,0.221054,serial
215,5,0.25,0.15,0.25,62,202824141,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0387576840638169,0.0407638971757152,-0.0105779711396475,0.0623536172369914,0.2237168,0.2472017,serial
219,8.5,0.5,0.15,0.25,62,202828141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0463630945573396,0.121787420223204,-0.0225555158270253,0.0768971687922753,0.2216922,0.2424929,serial
223,1.5,1.5,0.15,0.25,62,202832141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0629438564237919,0.239041118986767,-0.082804196994712,0.289127801374294,0.2339576,0.2436403,serial
227,5,0.15,0.5,0.25,62,202836141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0313715,0.0395714,serial
231,8.5,0.25,0.5,0.25,62,202840141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0327565,0.0348778,serial
235,1.5,1,0.5,0.25,62,202844141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.119934727310994,0.133445381046994,-0.104345496835939,0.215437005488468,0.2269524,0.236598,serial
239,5,1.5,0.5,0.25,62,202848141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0225249728870851,0.263644528198357,-0.219006592627904,0.227547042664295,0.2135078,0.2502963,serial
243,8.5,0.15,0.05,1,62,202852141,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.039608996107253,0.039608996107253,0.0335998721700032,0.0335998721700032,0.0334665,0.2668319,serial
247,1.5,0.5,0.05,1,62,202856141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0206741438423158,0.0633884625731611,-0.0256156432840869,0.0792454952639378,0.2383236,0.2673883,serial
251,5,1,0.05,1,62,202860141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0151902366859437,0.18737579882342,-0.101254687900257,0.150540083518896,0.262435,0.2856796,serial
255,8.5,1.5,0.05,1,62,202864141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0543931042025985,0.175943261215389,-0.161406262853468,0.229489758261085,0.2404614,0.2545405,serial
259,1.5,0.25,0.1,1,62,202868141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0100431159948777,0.0222128546251022,-2.39174966399525e-05,0.0499239877546204,0.2357094,0.2404793,serial
263,5,0.5,0.1,1,62,202872141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0312654485293933,0.0635610246970801,2.67095920915894e-05,0.058648757450855,0.3536318,0.5067993,serial
267,8.5,1,0.1,1,62,202876141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0325047247963965,0.0809548561910867,-0.125277429525688,0.251496326802128,0.2332112,0.2389508,serial
271,1.5,0.15,0.15,1,62,202880141,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0203710481286545,0.0239307506277066,0.0152354286889346,0.0396690288595881,0.189713,0.2328065,serial
275,5,0.25,0.15,1,62,202884141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00231589370153671,0.0447070440534476,0.0162532110133269,0.0452893337974772,0.2471048,0.3329641,serial
279,8.5,0.5,0.15,1,62,202888141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0279877171182278,0.0957842732046148,0.00225137598375654,0.031401409952308,0.2333229,0.2388517,serial
283,1.5,1.5,0.15,1,62,202892141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0839944616520194,0.330616923396305,0.0227477716486946,0.166907170020861,0.2347976,0.2468455,serial
287,5,0.15,0.5,1,62,202896141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0342689,0.0384495,serial
291,8.5,0.25,0.5,1,62,202900141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0324374,0.0350536,serial
295,1.5,1,0.5,1,62,202904141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0267032500610726,0.140094942571507,-0.158442987545173,0.22315112522531,0.2399217,0.2461723,serial
299,5,1.5,0.5,1,62,202908141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.407008715365197,0.50124120571411,-0.103960455286317,0.283154830494628,0.2896769,0.3400512,serial
303,8.5,0.15,0.05,2,62,202912141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0354668,0.0361063,serial
307,1.5,0.5,0.05,2,62,202916141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.039690851528676,0.0870011160993094,-0.125652623479151,0.132310072779318,0.2257874,0.2429217,serial
311,5,1,0.05,2,62,202920141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0178483661972622,0.0700060772289812,-0.165771252111463,0.215089409899075,0.2416302,0.2478398,serial
315,8.5,1.5,0.05,2,62,202924141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.148978862164834,0.27356194593097,-0.211827756418996,0.617364411993337,0.2363529,0.2533343,serial
319,1.5,0.25,0.1,2,62,202928141,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.125098401657664,0.138899166407656,-0.0178382244763649,0.0380110475164529,0.0380667,0.2503558,serial
323,5,0.5,0.1,2,62,202932141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0334876627451026,0.0679304296327133,-0.0844557823179165,0.0984511525822812,0.2378768,0.2482295,serial
327,8.5,1,0.1,2,62,202936141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.11181736297408,0.233878366254947,-0.0666129663576463,0.28003174717589,0.2375725,0.2478238,serial
331,1.5,0.15,0.15,2,62,202940141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0354128,0.0387252,serial
335,5,0.25,0.15,2,62,202944141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0698657565530318,0.0879434193898175,0.00303151310779763,0.0630903512398646,0.2231505,0.2418357,serial
339,8.5,0.5,0.15,2,62,202948141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0214582147073124,0.162659379970535,0.0535433477134355,0.12600431811438,0.2265441,0.2427441,serial
343,1.5,1.5,0.15,2,62,202952141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00703973376111802,0.151663671831831,0.0222501007028078,0.283546502577851,0.2440718,0.2521432,serial
347,5,0.15,0.5,2,62,202956141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0356052,0.0389906,serial
351,8.5,0.25,0.5,2,62,202960141,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,0.0364518,0.0420649,serial
355,1.5,1,0.5,2,62,202964141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.017683816377763,0.137604821840142,0.0215400845258193,0.165762528550233,0.2504037,0.2632602,serial
359,5,1.5,0.5,2,62,202968141,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004127765329185,0.343469396796553,-0.128695047081647,0.192957573719903,0.247063,0.2502628,serial
