id,scenario,repetition,seed,middle,variation,step,starting,budget,completed,status,reason,invariant_failures,replay_mismatches,seconds,nonfinite,bounds,membership,duplicate,stage,measurements,fit,direction,pause_reason,boundary
1,1,1,202610141,1.5,0.15,0.05,0.25,0,20,complete,,0,0,0.9828507,0,0,0,0,0,0,0,0,0,0
5,1,5,202610145,1.5,0.15,0.05,0.25,0,20,complete,,0,0,0.414535,0,0,0,0,0,0,0,0,0,0
9,2,4,202611144,5,0.15,0.05,0.25,0,20,complete,,0,0,0.3580868,0,0,0,0,0,0,0,0,0,0
13,3,3,202612143,8.5,0.15,0.05,0.25,0,20,complete,,0,0,0.3710515,0,0,0,0,0,0,0,0,0,0
17,4,2,202613142,1.5,0.25,0.05,0.25,0,20,complete,,0,0,0.3889835,0,0,0,0,0,0,0,0,0,0
21,5,1,202614141,5,0.25,0.05,0.25,0,20,complete,,0,0,0.3806302,0,0,0,0,0,0,0,0,0,0
25,5,5,202614145,5,0.25,0.05,0.25,0,20,complete,,0,0,0.3724964,0,0,0,0,0,0,0,0,0,0
29,6,4,202615144,8.5,0.25,0.05,0.25,0,20,complete,,0,0,0.3311122,0,0,0,0,0,0,0,0,0,0
33,7,3,202616143,1.5,0.5,0.05,0.25,0,20,complete,,0,0,0.3845495,0,0,0,0,0,0,0,0,0,0
37,8,2,202617142,5,0.5,0.05,0.25,0,20,complete,,0,0,0.4027381,0,0,0,0,0,0,0,0,0,0
41,9,1,202618141,8.5,0.5,0.05,0.25,0,20,complete,,0,0,0.4573257,0,0,0,0,0,0,0,0,0,0
45,9,5,202618145,8.5,0.5,0.05,0.25,0,20,complete,,0,0,0.2834743,0,0,0,0,0,0,0,0,0,0
49,10,4,202619144,1.5,1,0.05,0.25,0,20,complete,,0,0,0.5000127,0,0,0,0,0,0,0,0,0,0
53,11,3,202620143,5,1,0.05,0.25,0,20,complete,,0,0,0.3896587,0,0,0,0,0,0,0,0,0,0
57,12,2,202621142,8.5,1,0.05,0.25,0,20,complete,,0,0,0.3912842,0,0,0,0,0,0,0,0,0,0
61,13,1,202622141,1.5,1.5,0.05,0.25,0,20,complete,,0,0,0.4896219,0,0,0,0,0,0,0,0,0,0
65,13,5,202622145,1.5,1.5,0.05,0.25,0,20,complete,,0,0,0.4766487,0,0,0,0,0,0,0,0,0,0
69,14,4,202623144,5,1.5,0.05,0.25,0,20,complete,,0,0,0.3665438,0,0,0,0,0,0,0,0,0,0
73,15,3,202624143,8.5,1.5,0.05,0.25,0,20,complete,,0,0,0.3835421,0,0,0,0,0,0,0,0,0,0
77,16,2,202625142,1.5,0.15,0.1,0.25,0,20,complete,,0,0,0.0223335,0,0,0,0,0,0,0,0,0,0
81,17,1,202626141,5,0.15,0.1,0.25,0,20,complete,,0,0,0.3328247,0,0,0,0,0,0,0,0,0,0
85,17,5,202626145,5,0.15,0.1,0.25,0,20,complete,,0,0,0.2921742,0,0,0,0,0,0,0,0,0,0
89,18,4,202627144,8.5,0.15,0.1,0.25,0,20,complete,,0,0,0.3968497,0,0,0,0,0,0,0,0,0,0
93,19,3,202628143,1.5,0.25,0.1,0.25,0,20,complete,,0,0,0.0206513,0,0,0,0,0,0,0,0,0,0
97,20,2,202629142,5,0.25,0.1,0.25,0,20,complete,,0,0,0.3516987,0,0,0,0,0,0,0,0,0,0
101,21,1,202630141,8.5,0.25,0.1,0.25,0,20,complete,,0,0,0.3165466,0,0,0,0,0,0,0,0,0,0
105,21,5,202630145,8.5,0.25,0.1,0.25,0,20,complete,,0,0,0.3777987,0,0,0,0,0,0,0,0,0,0
109,22,4,202631144,1.5,0.5,0.1,0.25,0,20,complete,,0,0,0.3100917,0,0,0,0,0,0,0,0,0,0
113,23,3,202632143,5,0.5,0.1,0.25,0,20,complete,,0,0,0.4226238,0,0,0,0,0,0,0,0,0,0
117,24,2,202633142,8.5,0.5,0.1,0.25,0,20,complete,,0,0,0.3048925,0,0,0,0,0,0,0,0,0,0
121,25,1,202634141,1.5,1,0.1,0.25,0,20,complete,,0,0,0.3893393,0,0,0,0,0,0,0,0,0,0
125,25,5,202634145,1.5,1,0.1,0.25,0,20,complete,,0,0,0.427605,0,0,0,0,0,0,0,0,0,0
129,26,4,202635144,5,1,0.1,0.25,0,20,complete,,0,0,0.4031633,0,0,0,0,0,0,0,0,0,0
133,27,3,202636143,8.5,1,0.1,0.25,0,20,complete,,0,0,0.3754342,0,0,0,0,0,0,0,0,0,0
137,28,2,202637142,1.5,1.5,0.1,0.25,0,20,complete,,0,0,0.342806,0,0,0,0,0,0,0,0,0,0
141,29,1,202638141,5,1.5,0.1,0.25,0,20,complete,,0,0,0.442348,0,0,0,0,0,0,0,0,0,0
145,29,5,202638145,5,1.5,0.1,0.25,0,20,complete,,0,0,0.4988806,0,0,0,0,0,0,0,0,0,0
149,30,4,202639144,8.5,1.5,0.1,0.25,0,20,complete,,0,0,0.4552347,0,0,0,0,0,0,0,0,0,0
153,31,3,202640143,1.5,0.15,0.15,0.25,0,20,complete,,0,0,0.0223805,0,0,0,0,0,0,0,0,0,0
157,32,2,202641142,5,0.15,0.15,0.25,0,20,complete,,0,0,0.2560823,0,0,0,0,0,0,0,0,0,0
161,33,1,202642141,8.5,0.15,0.15,0.25,0,20,complete,,0,0,0.0243128,0,0,0,0,0,0,0,0,0,0
165,33,5,202642145,8.5,0.15,0.15,0.25,0,20,complete,,0,0,0.0212283,0,0,0,0,0,0,0,0,0,0
169,34,4,202643144,1.5,0.25,0.15,0.25,0,20,complete,,0,0,0.0211167,0,0,0,0,0,0,0,0,0,0
173,35,3,202644143,5,0.25,0.15,0.25,0,20,complete,,0,0,0.3282022,0,0,0,0,0,0,0,0,0,0
177,36,2,202645142,8.5,0.25,0.15,0.25,0,20,complete,,0,0,0.280034,0,0,0,0,0,0,0,0,0,0
181,37,1,202646141,1.5,0.5,0.15,0.25,0,20,complete,,0,0,0.3021784,0,0,0,0,0,0,0,0,0,0
185,37,5,202646145,1.5,0.5,0.15,0.25,0,20,complete,,0,0,0.3408728,0,0,0,0,0,0,0,0,0,0
189,38,4,202647144,5,0.5,0.15,0.25,0,20,complete,,0,0,0.3337221,0,0,0,0,0,0,0,0,0,0
193,39,3,202648143,8.5,0.5,0.15,0.25,0,20,complete,,0,0,0.3471455,0,0,0,0,0,0,0,0,0,0
197,40,2,202649142,1.5,1,0.15,0.25,0,20,complete,,0,0,0.3097631,0,0,0,0,0,0,0,0,0,0
201,41,1,202650141,5,1,0.15,0.25,0,20,complete,,0,0,0.388962,0,0,0,0,0,0,0,0,0,0
205,41,5,202650145,5,1,0.15,0.25,0,20,complete,,0,0,0.2892818,0,0,0,0,0,0,0,0,0,0
209,42,4,202651144,8.5,1,0.15,0.25,0,20,complete,,0,0,0.3381212,0,0,0,0,0,0,0,0,0,0
213,43,3,202652143,1.5,1.5,0.15,0.25,0,20,complete,,0,0,0.3432708,0,0,0,0,0,0,0,0,0,0
217,44,2,202653142,5,1.5,0.15,0.25,0,20,complete,,0,0,0.353323,0,0,0,0,0,0,0,0,0,0
221,45,1,202654141,8.5,1.5,0.15,0.25,0,20,complete,,0,0,0.3759173,0,0,0,0,0,0,0,0,0,0
225,45,5,202654145,8.5,1.5,0.15,0.25,0,20,complete,,0,0,0.3830333,0,0,0,0,0,0,0,0,0,0
229,46,4,202655144,1.5,0.15,0.5,0.25,0,20,complete,,0,0,0.0184173,0,0,0,0,0,0,0,0,0,0
233,47,3,202656143,5,0.15,0.5,0.25,0,20,complete,,0,0,0.0234258,0,0,0,0,0,0,0,0,0,0
237,48,2,202657142,8.5,0.15,0.5,0.25,0,20,complete,,0,0,0.0193309,0,0,0,0,0,0,0,0,0,0
241,49,1,202658141,1.5,0.25,0.5,0.25,0,20,complete,,0,0,0.0150082,0,0,0,0,0,0,0,0,0,0
245,49,5,202658145,1.5,0.25,0.5,0.25,0,20,complete,,0,0,0.0196787,0,0,0,0,0,0,0,0,0,0
249,50,4,202659144,5,0.25,0.5,0.25,0,20,complete,,0,0,0.0229773,0,0,0,0,0,0,0,0,0,0
253,51,3,202660143,8.5,0.25,0.5,0.25,0,20,complete,,0,0,0.0211811,0,0,0,0,0,0,0,0,0,0
257,52,2,202661142,1.5,0.5,0.5,0.25,0,20,complete,,0,0,0.3423277,0,0,0,0,0,0,0,0,0,0
261,53,1,202662141,5,0.5,0.5,0.25,0,20,complete,,0,0,0.0221255,0,0,0,0,0,0,0,0,0,0
265,53,5,202662145,5,0.5,0.5,0.25,0,20,complete,,0,0,0.022964,0,0,0,0,0,0,0,0,0,0
269,54,4,202663144,8.5,0.5,0.5,0.25,0,20,complete,,0,0,0.0220078,0,0,0,0,0,0,0,0,0,0
273,55,3,202664143,1.5,1,0.5,0.25,0,20,complete,,0,0,0.3286585,0,0,0,0,0,0,0,0,0,0
277,56,2,202665142,5,1,0.5,0.25,0,20,complete,,0,0,0.3281186,0,0,0,0,0,0,0,0,0,0
281,57,1,202666141,8.5,1,0.5,0.25,0,20,complete,,0,0,0.1806323,0,0,0,0,0,0,0,0,0,0
285,57,5,202666145,8.5,1,0.5,0.25,0,20,complete,,0,0,0.3534311,0,0,0,0,0,0,0,0,0,0
289,58,4,202667144,1.5,1.5,0.5,0.25,0,20,complete,,0,0,0.3168541,0,0,0,0,0,0,0,0,0,0
293,59,3,202668143,5,1.5,0.5,0.25,0,20,complete,,0,0,0.3529333,0,0,0,0,0,0,0,0,0,0
297,60,2,202669142,8.5,1.5,0.5,0.25,0,20,complete,,0,0,0.1977575,0,0,0,0,0,0,0,0,0,0
301,61,1,202670141,1.5,0.15,0.05,1,0,20,complete,,0,0,0.0256528,0,0,0,0,0,0,0,0,0,0
305,61,5,202670145,1.5,0.15,0.05,1,0,20,complete,,0,0,0.0242315,0,0,0,0,0,0,0,0,0,0
309,62,4,202671144,5,0.15,0.05,1,0,20,complete,,0,0,0.2548542,0,0,0,0,0,0,0,0,0,0
313,63,3,202672143,8.5,0.15,0.05,1,0,20,complete,,0,0,0.0245696,0,0,0,0,0,0,0,0,0,0
317,64,2,202673142,1.5,0.25,0.05,1,0,20,complete,,0,0,0.2473461,0,0,0,0,0,0,0,0,0,0
321,65,1,202674141,5,0.25,0.05,1,0,20,complete,,0,0,0.3485193,0,0,0,0,0,0,0,0,0,0
325,65,5,202674145,5,0.25,0.05,1,0,20,complete,,0,0,0.3710345,0,0,0,0,0,0,0,0,0,0
329,66,4,202675144,8.5,0.25,0.05,1,0,20,complete,,0,0,0.3102435,0,0,0,0,0,0,0,0,0,0
333,67,3,202676143,1.5,0.5,0.05,1,0,20,complete,,0,0,0.2864705,0,0,0,0,0,0,0,0,0,0
337,68,2,202677142,5,0.5,0.05,1,0,20,complete,,0,0,0.2872633,0,0,0,0,0,0,0,0,0,0
341,69,1,202678141,8.5,0.5,0.05,1,0,20,complete,,0,0,0.2567419,0,0,0,0,0,0,0,0,0,0
345,69,5,202678145,8.5,0.5,0.05,1,0,20,complete,,0,0,0.3075365,0,0,0,0,0,0,0,0,0,0
349,70,4,202679144,1.5,1,0.05,1,0,20,complete,,0,0,0.4192898,0,0,0,0,0,0,0,0,0,0
353,71,3,202680143,5,1,0.05,1,0,20,complete,,0,0,0.4801722,0,0,0,0,0,0,0,0,0,0
357,72,2,202681142,8.5,1,0.05,1,0,20,complete,,0,0,0.2908475,0,0,0,0,0,0,0,0,0,0
361,73,1,202682141,1.5,1.5,0.05,1,0,20,complete,,0,0,0.3707279,0,0,0,0,0,0,0,0,0,0
365,73,5,202682145,1.5,1.5,0.05,1,0,20,complete,,0,0,0.4268112,0,0,0,0,0,0,0,0,0,0
369,74,4,202683144,5,1.5,0.05,1,0,20,complete,,0,0,0.4992792,0,0,0,0,0,0,0,0,0,0
373,75,3,202684143,8.5,1.5,0.05,1,0,20,complete,,0,0,0.3578168,0,0,0,0,0,0,0,0,0,0
377,76,2,202685142,1.5,0.15,0.1,1,0,20,complete,,0,0,0.316143,0,0,0,0,0,0,0,0,0,0
381,77,1,202686141,5,0.15,0.1,1,0,20,complete,,0,0,0.4008664,0,0,0,0,0,0,0,0,0,0
385,77,5,202686145,5,0.15,0.1,1,0,20,complete,,0,0,0.2973374,0,0,0,0,0,0,0,0,0,0
389,78,4,202687144,8.5,0.15,0.1,1,0,20,complete,,0,0,0.0234487,0,0,0,0,0,0,0,0,0,0
393,79,3,202688143,1.5,0.25,0.1,1,0,20,complete,,0,0,0.462871,0,0,0,0,0,0,0,0,0,0
397,80,2,202689142,5,0.25,0.1,1,0,20,complete,,0,0,0.2866592,0,0,0,0,0,0,0,0,0,0
401,81,1,202690141,8.5,0.25,0.1,1,0,20,complete,,0,0,0.0236744,0,0,0,0,0,0,0,0,0,0
405,81,5,202690145,8.5,0.25,0.1,1,0,20,complete,,0,0,0.0235441,0,0,0,0,0,0,0,0,0,0
409,82,4,202691144,1.5,0.5,0.1,1,0,20,complete,,0,0,0.3191674,0,0,0,0,0,0,0,0,0,0
413,83,3,202692143,5,0.5,0.1,1,0,20,complete,,0,0,0.362856,0,0,0,0,0,0,0,0,0,0
417,84,2,202693142,8.5,0.5,0.1,1,0,20,complete,,0,0,0.2902876,0,0,0,0,0,0,0,0,0,0
421,85,1,202694141,1.5,1,0.1,1,0,20,complete,,0,0,0.4588527,0,0,0,0,0,0,0,0,0,0
425,85,5,202694145,1.5,1,0.1,1,0,20,complete,,0,0,0.3748324,0,0,0,0,0,0,0,0,0,0
429,86,4,202695144,5,1,0.1,1,0,20,complete,,0,0,0.3781534,0,0,0,0,0,0,0,0,0,0
433,87,3,202696143,8.5,1,0.1,1,0,20,complete,,0,0,0.3433423,0,0,0,0,0,0,0,0,0,0
437,88,2,202697142,1.5,1.5,0.1,1,0,20,complete,,0,0,0.3578934,0,0,0,0,0,0,0,0,0,0
441,89,1,202698141,5,1.5,0.1,1,0,20,complete,,0,0,0.382064,0,0,0,0,0,0,0,0,0,0
445,89,5,202698145,5,1.5,0.1,1,0,20,complete,,0,0,0.3265804,0,0,0,0,0,0,0,0,0,0
449,90,4,202699144,8.5,1.5,0.1,1,0,20,complete,,0,0,1.4939923,0,0,0,0,0,0,0,0,0,0
453,91,3,202700143,1.5,0.15,0.15,1,0,20,complete,,0,0,0.0218499,0,0,0,0,0,0,0,0,0,0
457,92,2,202701142,5,0.15,0.15,1,0,20,complete,,0,0,0.0266291,0,0,0,0,0,0,0,0,0,0
461,93,1,202702141,8.5,0.15,0.15,1,0,20,complete,,0,0,0.0231075,0,0,0,0,0,0,0,0,0,0
465,93,5,202702145,8.5,0.15,0.15,1,0,20,complete,,0,0,0.0236189,0,0,0,0,0,0,0,0,0,0
469,94,4,202703144,1.5,0.25,0.15,1,0,20,complete,,0,0,0.3862465,0,0,0,0,0,0,0,0,0,0
473,95,3,202704143,5,0.25,0.15,1,0,20,complete,,0,0,0.02095,0,0,0,0,0,0,0,0,0,0
477,96,2,202705142,8.5,0.25,0.15,1,0,20,complete,,0,0,0.0233753,0,0,0,0,0,0,0,0,0,0
481,97,1,202706141,1.5,0.5,0.15,1,0,20,complete,,0,0,0.481299,0,0,0,0,0,0,0,0,0,0
485,97,5,202706145,1.5,0.5,0.15,1,0,20,complete,,0,0,0.4890849,0,0,0,0,0,0,0,0,0,0
489,98,4,202707144,5,0.5,0.15,1,0,20,complete,,0,0,0.335494,0,0,0,0,0,0,0,0,0,0
493,99,3,202708143,8.5,0.5,0.15,1,0,20,complete,,0,0,0.3750222,0,0,0,0,0,0,0,0,0,0
497,100,2,202709142,1.5,1,0.15,1,0,20,complete,,0,0,0.3817752,0,0,0,0,0,0,0,0,0,0
501,101,1,202710141,5,1,0.15,1,0,20,complete,,0,0,0.4842975,0,0,0,0,0,0,0,0,0,0
505,101,5,202710145,5,1,0.15,1,0,20,complete,,0,0,0.441535,0,0,0,0,0,0,0,0,0,0
509,102,4,202711144,8.5,1,0.15,1,0,20,complete,,0,0,0.3536482,0,0,0,0,0,0,0,0,0,0
513,103,3,202712143,1.5,1.5,0.15,1,0,20,complete,,0,0,0.4588348,0,0,0,0,0,0,0,0,0,0
517,104,2,202713142,5,1.5,0.15,1,0,20,complete,,0,0,0.5155682,0,0,0,0,0,0,0,0,0,0
521,105,1,202714141,8.5,1.5,0.15,1,0,20,complete,,0,0,0.33332,0,0,0,0,0,0,0,0,0,0
525,105,5,202714145,8.5,1.5,0.15,1,0,20,complete,,0,0,0.2622983,0,0,0,0,0,0,0,0,0,0
529,106,4,202715144,1.5,0.15,0.5,1,0,20,complete,,0,0,0.0225134,0,0,0,0,0,0,0,0,0,0
533,107,3,202716143,5,0.15,0.5,1,0,20,complete,,0,0,0.0239379,0,0,0,0,0,0,0,0,0,0
537,108,2,202717142,8.5,0.15,0.5,1,0,20,complete,,0,0,0.0220383,0,0,0,0,0,0,0,0,0,0
541,109,1,202718141,1.5,0.25,0.5,1,0,20,complete,,0,0,0.0208174,0,0,0,0,0,0,0,0,0,0
545,109,5,202718145,1.5,0.25,0.5,1,0,20,complete,,0,0,0.0241453,0,0,0,0,0,0,0,0,0,0
549,110,4,202719144,5,0.25,0.5,1,0,20,complete,,0,0,0.0246058,0,0,0,0,0,0,0,0,0,0
553,111,3,202720143,8.5,0.25,0.5,1,0,20,complete,,0,0,0.0207693,0,0,0,0,0,0,0,0,0,0
557,112,2,202721142,1.5,0.5,0.5,1,0,20,complete,,0,0,0.3333966,0,0,0,0,0,0,0,0,0,0
561,113,1,202722141,5,0.5,0.5,1,0,20,complete,,0,0,0.024524,0,0,0,0,0,0,0,0,0,0
565,113,5,202722145,5,0.5,0.5,1,0,20,complete,,0,0,0.0190358,0,0,0,0,0,0,0,0,0,0
569,114,4,202723144,8.5,0.5,0.5,1,0,20,complete,,0,0,0.0173392,0,0,0,0,0,0,0,0,0,0
573,115,3,202724143,1.5,1,0.5,1,0,20,complete,,0,0,0.3577951,0,0,0,0,0,0,0,0,0,0
577,116,2,202725142,5,1,0.5,1,0,20,complete,,0,0,0.4501878,0,0,0,0,0,0,0,0,0,0
581,117,1,202726141,8.5,1,0.5,1,0,20,complete,,0,0,0.3125115,0,0,0,0,0,0,0,0,0,0
585,117,5,202726145,8.5,1,0.5,1,0,20,complete,,0,0,0.3625699,0,0,0,0,0,0,0,0,0,0
589,118,4,202727144,1.5,1.5,0.5,1,0,20,complete,,0,0,0.3961632,0,0,0,0,0,0,0,0,0,0
593,119,3,202728143,5,1.5,0.5,1,0,20,complete,,0,0,0.6146243,0,0,0,0,0,0,0,0,0,0
597,120,2,202729142,8.5,1.5,0.5,1,0,20,complete,,0,0,0.5376043,0,0,0,0,0,0,0,0,0,0
601,121,1,202730141,1.5,0.15,0.05,2,0,20,complete,,0,0,0.0270269,0,0,0,0,0,0,0,0,0,0
605,121,5,202730145,1.5,0.15,0.05,2,0,20,complete,,0,0,0.0284396,0,0,0,0,0,0,0,0,0,0
609,122,4,202731144,5,0.15,0.05,2,0,20,complete,,0,0,0.3455016,0,0,0,0,0,0,0,0,0,0
613,123,3,202732143,8.5,0.15,0.05,2,0,20,complete,,0,0,0.0294261,0,0,0,0,0,0,0,0,0,0
617,124,2,202733142,1.5,0.25,0.05,2,0,20,complete,,0,0,0.4262561,0,0,0,0,0,0,0,0,0,0
621,125,1,202734141,5,0.25,0.05,2,0,20,complete,,0,0,0.50265,0,0,0,0,0,0,0,0,0,0
625,125,5,202734145,5,0.25,0.05,2,0,20,complete,,0,0,0.3769547,0,0,0,0,0,0,0,0,0,0
629,126,4,202735144,8.5,0.25,0.05,2,0,20,complete,,0,0,0.0299921,0,0,0,0,0,0,0,0,0,0
633,127,3,202736143,1.5,0.5,0.05,2,0,20,complete,,0,0,0.0291188,0,0,0,0,0,0,0,0,0,0
637,128,2,202737142,5,0.5,0.05,2,0,20,complete,,0,0,0.4132032,0,0,0,0,0,0,0,0,0,0
641,129,1,202738141,8.5,0.5,0.05,2,0,20,complete,,0,0,0.4299859,0,0,0,0,0,0,0,0,0,0
645,129,5,202738145,8.5,0.5,0.05,2,0,20,complete,,0,0,0.0311435,0,0,0,0,0,0,0,0,0,0
649,130,4,202739144,1.5,1,0.05,2,0,20,complete,,0,0,0.4463686,0,0,0,0,0,0,0,0,0,0
653,131,3,202740143,5,1,0.05,2,0,20,complete,,0,0,0.4632186,0,0,0,0,0,0,0,0,0,0
657,132,2,202741142,8.5,1,0.05,2,0,20,complete,,0,0,0.3888559,0,0,0,0,0,0,0,0,0,0
661,133,1,202742141,1.5,1.5,0.05,2,0,20,complete,,0,0,0.5872493,0,0,0,0,0,0,0,0,0,0
665,133,5,202742145,1.5,1.5,0.05,2,0,20,complete,,0,0,0.5614266,0,0,0,0,0,0,0,0,0,0
669,134,4,202743144,5,1.5,0.05,2,0,20,complete,,0,0,0.5697932,0,0,0,0,0,0,0,0,0,0
673,135,3,202744143,8.5,1.5,0.05,2,0,20,complete,,0,0,0.5101512,0,0,0,0,0,0,0,0,0,0
677,136,2,202745142,1.5,0.15,0.1,2,0,20,complete,,0,0,0.0314589,0,0,0,0,0,0,0,0,0,0
681,137,1,202746141,5,0.15,0.1,2,0,20,complete,,0,0,0.026618,0,0,0,0,0,0,0,0,0,0
685,137,5,202746145,5,0.15,0.1,2,0,20,complete,,0,0,0.3458558,0,0,0,0,0,0,0,0,0,0
689,138,4,202747144,8.5,0.15,0.1,2,0,20,complete,,0,0,0.0316678,0,0,0,0,0,0,0,0,0,0
693,139,3,202748143,1.5,0.25,0.1,2,0,20,complete,,0,0,0.0277748,0,0,0,0,0,0,0,0,0,0
697,140,2,202749142,5,0.25,0.1,2,0,20,complete,,0,0,0.4367301,0,0,0,0,0,0,0,0,0,0
701,141,1,202750141,8.5,0.25,0.1,2,0,20,complete,,0,0,0.5348265,0,0,0,0,0,0,0,0,0,0
705,141,5,202750145,8.5,0.25,0.1,2,0,20,complete,,0,0,0.0264481,0,0,0,0,0,0,0,0,0,0
709,142,4,202751144,1.5,0.5,0.1,2,0,20,complete,,0,0,0.5188717,0,0,0,0,0,0,0,0,0,0
