id,scenario,repetition,seed,middle,variation,step,starting,budget,completed,status,reason,invariant_failures,replay_mismatches,seconds,nonfinite,bounds,membership,duplicate,stage,measurements,fit,direction,pause_reason,boundary
3,1,3,202610143,1.5,0.15,0.1,1,0,20,complete,,0,0,0.0180067,0,0,0,0,0,0,0,0,0,0
7,2,2,202611142,5,0.15,0.1,1,0,20,complete,,0,0,0.0046493,0,0,0,0,0,0,0,0,0,0
11,3,1,202612141,8.5,0.15,0.1,1,0,20,complete,,0,0,0.0069908,0,0,0,0,0,0,0,0,0,0
15,3,5,202612145,8.5,0.15,0.1,1,0,20,complete,,0,0,0.0027144,0,0,0,0,0,0,0,0,0,0
19,4,4,202613144,1.5,0.25,0.1,1,0,20,complete,,0,0,0.0079307,0,0,0,0,0,0,0,0,0,0
23,5,3,202614143,5,0.25,0.1,1,0,20,complete,,0,0,0.0025675,0,0,0,0,0,0,0,0,0,0
27,6,2,202615142,8.5,0.25,0.1,1,0,20,complete,,0,0,0.0022105,0,0,0,0,0,0,0,0,0,0
31,7,1,202616141,1.5,0.5,0.1,1,0,20,complete,,0,0,0.3332455,0,0,0,0,0,0,0,0,0,0
35,7,5,202616145,1.5,0.5,0.1,1,0,20,complete,,0,0,0.2503371,0,0,0,0,0,0,0,0,0,0
39,8,4,202617144,5,0.5,0.1,1,0,20,complete,,0,0,0.0090367,0,0,0,0,0,0,0,0,0,0
43,9,3,202618143,8.5,0.5,0.1,1,0,20,complete,,0,0,0.0034368,0,0,0,0,0,0,0,0,0,0
47,10,2,202619142,1.5,1,0.1,1,0,20,complete,,0,0,0.3493949,0,0,0,0,0,0,0,0,0,0
51,11,1,202620141,5,1,0.1,1,0,20,complete,,0,0,0.2588185,0,0,0,0,0,0,0,0,0,0
55,11,5,202620145,5,1,0.1,1,0,20,complete,,0,0,0.0250974,0,0,0,0,0,0,0,0,0,0
59,12,4,202621144,8.5,1,0.1,1,0,20,complete,,0,0,0.0112254,0,0,0,0,0,0,0,0,0,0
63,13,3,202622143,1.5,1.5,0.1,1,0,20,complete,,0,0,0.3428338,0,0,0,0,0,0,0,0,0,0
67,14,2,202623142,5,1.5,0.1,1,0,20,complete,,0,0,0.2467449,0,0,0,0,0,0,0,0,0,0
71,15,1,202624141,8.5,1.5,0.1,1,0,20,complete,,0,0,0.0029599,0,0,0,0,0,0,0,0,0,0
75,15,5,202624145,8.5,1.5,0.1,1,0,20,complete,,0,0,0.0030962,0,0,0,0,0,0,0,0,0,0
79,16,4,202625144,1.5,0.15,0.15,1,0,20,complete,,0,0,0.0232676,0,0,0,0,0,0,0,0,0,0
83,17,3,202626143,5,0.15,0.15,1,0,20,complete,,0,0,0.0223197,0,0,0,0,0,0,0,0,0,0
87,18,2,202627142,8.5,0.15,0.15,1,0,20,complete,,0,0,0.0024514,0,0,0,0,0,0,0,0,0,0
91,19,1,202628141,1.5,0.25,0.15,1,0,20,complete,,0,0,0.0213652,0,0,0,0,0,0,0,0,0,0
95,19,5,202628145,1.5,0.25,0.15,1,0,20,complete,,0,0,0.0219025,0,0,0,0,0,0,0,0,0,0
99,20,4,202629144,5,0.25,0.15,1,0,20,complete,,0,0,0.0257594,0,0,0,0,0,0,0,0,0,0
103,21,3,202630143,8.5,0.25,0.15,1,0,20,complete,,0,0,0.0028341,0,0,0,0,0,0,0,0,0,0
107,22,2,202631142,1.5,0.5,0.15,1,0,20,complete,,0,0,0.2429335,0,0,0,0,0,0,0,0,0,0
111,23,1,202632141,5,0.5,0.15,1,0,20,complete,,0,0,0.0232322,0,0,0,0,0,0,0,0,0,0
