id,scenario,repetition,seed,middle,variation,step,starting,budget,completed,status,reason,invariant_failures,replay_mismatches,seconds,nonfinite,bounds,membership,duplicate,stage,measurements,fit,direction,pause_reason,boundary
1,1,1,202610141,1.5,0.15,0.05,0.25,0,20,complete,,0,0,0.7999252,0,0,0,0,0,0,0,0,0,0
5,1,5,202610145,1.5,0.15,0.05,0.25,0,20,complete,,0,0,0.2969128,0,0,0,0,0,0,0,0,0,0
9,2,4,202611144,5,0.15,0.05,0.25,0,20,complete,,0,0,0.2330878,0,0,0,0,0,0,0,0,0,0
13,3,3,202612143,8.5,0.15,0.05,0.25,0,20,complete,,0,0,0.2104494,0,0,0,0,0,0,0,0,0,0
17,4,2,202613142,1.5,0.25,0.05,0.25,0,20,complete,,0,0,0.2969425,0,0,0,0,0,0,0,0,0,0
21,5,1,202614141,5,0.25,0.05,0.25,0,20,complete,,0,0,0.2284301,0,0,0,0,0,0,0,0,0,0
25,5,5,202614145,5,0.25,0.05,0.25,0,20,complete,,0,0,0.310616,0,0,0,0,0,0,0,0,0,0
29,6,4,202615144,8.5,0.25,0.05,0.25,0,20,complete,,0,0,0.26967,0,0,0,0,0,0,0,0,0,0
33,7,3,202616143,1.5,0.5,0.05,0.25,0,20,complete,,0,0,0.2909099,0,0,0,0,0,0,0,0,0,0
37,8,2,202617142,5,0.5,0.05,0.25,0,20,complete,,0,0,0.2331496,0,0,0,0,0,0,0,0,0,0
41,9,1,202618141,8.5,0.5,0.05,0.25,0,20,complete,,0,0,0.4080971,0,0,0,0,0,0,0,0,0,0
45,9,5,202618145,8.5,0.5,0.05,0.25,0,20,complete,,0,0,0.2129914,0,0,0,0,0,0,0,0,0,0
49,10,4,202619144,1.5,1,0.05,0.25,0,20,complete,,0,0,0.3171494,0,0,0,0,0,0,0,0,0,0
53,11,3,202620143,5,1,0.05,0.25,0,20,complete,,0,0,0.2771038,0,0,0,0,0,0,0,0,0,0
57,12,2,202621142,8.5,1,0.05,0.25,0,20,complete,,0,0,0.279996,0,0,0,0,0,0,0,0,0,0
61,13,1,202622141,1.5,1.5,0.05,0.25,0,20,complete,,0,0,0.3147017,0,0,0,0,0,0,0,0,0,0
65,13,5,202622145,1.5,1.5,0.05,0.25,0,20,complete,,0,0,0.2972579,0,0,0,0,0,0,0,0,0,0
69,14,4,202623144,5,1.5,0.05,0.25,0,20,complete,,0,0,0.2696346,0,0,0,0,0,0,0,0,0,0
73,15,3,202624143,8.5,1.5,0.05,0.25,0,20,complete,,0,0,0.2682381,0,0,0,0,0,0,0,0,0,0
77,16,2,202625142,1.5,0.15,0.1,0.25,0,20,complete,,0,0,0.0200999,0,0,0,0,0,0,0,0,0,0
81,17,1,202626141,5,0.15,0.1,0.25,0,20,complete,,0,0,0.1932245,0,0,0,0,0,0,0,0,0,0
85,17,5,202626145,5,0.15,0.1,0.25,0,20,complete,,0,0,0.2237656,0,0,0,0,0,0,0,0,0,0
89,18,4,202627144,8.5,0.15,0.1,0.25,0,20,complete,,0,0,0.221996,0,0,0,0,0,0,0,0,0,0
93,19,3,202628143,1.5,0.25,0.1,0.25,0,20,complete,,0,0,0.0191083,0,0,0,0,0,0,0,0,0,0
97,20,2,202629142,5,0.25,0.1,0.25,0,20,complete,,0,0,0.2557888,0,0,0,0,0,0,0,0,0,0
101,21,1,202630141,8.5,0.25,0.1,0.25,0,20,complete,,0,0,0.2407663,0,0,0,0,0,0,0,0,0,0
105,21,5,202630145,8.5,0.25,0.1,0.25,0,20,complete,,0,0,0.2545661,0,0,0,0,0,0,0,0,0,0
109,22,4,202631144,1.5,0.5,0.1,0.25,0,20,complete,,0,0,0.2566559,0,0,0,0,0,0,0,0,0,0
113,23,3,202632143,5,0.5,0.1,0.25,0,20,complete,,0,0,0.3000136,0,0,0,0,0,0,0,0,0,0
117,24,2,202633142,8.5,0.5,0.1,0.25,0,20,complete,,0,0,0.2489176,0,0,0,0,0,0,0,0,0,0
121,25,1,202634141,1.5,1,0.1,0.25,0,20,complete,,0,0,0.2699318,0,0,0,0,0,0,0,0,0,0
125,25,5,202634145,1.5,1,0.1,0.25,0,20,complete,,0,0,0.2720825,0,0,0,0,0,0,0,0,0,0
