trial,seed,usable_gap_step_mm,completed_tests,run_status,interactions,no_interactions,stage1_count,stage2_count,stage3_count,first_stage2_test,first_stage3_test,immediate_duplicate_requests,out_of_bounds_requests,off_grid_requests,fitted_middle_mm,middle_error_mm,fitted_overall_variation_mm,overall_variation_error_mm,middle_95_lower_mm,middle_95_upper_mm,middle_truth_inside_95,variation_95_lower_mm,variation_95_upper_mm,variation_truth_inside_95,expected_interactions_from_truth,observed_minus_expected_interactions,standardized_outcome_balance,mean_build_error_mm,mean_measurement_error_mm,truth_likelihood_distance,truth_inside_joint_95,maximum_doptimal_raw_difference_mm,all_hard_checks_passed,audit_message
1,202609081,0.05,62,complete,31,31,5,3,54,6,9,0,0,0,2.42087836635179,-0.0791216336482101,0.433168856595845,-0.0668311434041555,2.24506122771704,2.59894328908425,1,0.307335345734026,0.683966510284808,1,33.2661812299987,-2.26618122999869,-0.76157057206061,0.00233595537063816,-0.00122003965866538,1.13102123814525,1,0,1,PASS
2,202609082,0.1,62,complete,30,32,5,3,54,6,9,0,0,0,2.35477499276756,-0.145225007232443,0.423728309184477,-0.0762716908155231,2.1817213439594,2.52468827087308,1,0.2851415019335,0.715702567607329,1,35.0226177679458,-5.02261776794583,-1.60635599013504,-4.42938292963179e-05,-0.000159626162563075,2.94532087437236,1,0,1,PASS
3,202609083,0.15,62,complete,31,31,5,1,56,6,7,0,0,0,2.46647527744173,-0.0335247225582744,0.541697521835736,0.0416975218357357,2.24802326996088,2.68224199727844,1,0.371805020004681,0.896908016830853,1,32.3066934988102,-1.30669349881016,-0.459269799159884,0.00182324739232096,-0.0010151628349749,0.253945514066125,1,0,1,PASS
4,202609084,0.25,62,complete,31,31,5,2,55,6,8,0,0,0,2.4160333514623,-0.0839666485377046,0.36444729710216,-0.13555270289784,2.262136384505,2.57081693954542,1,0.259092606550402,0.565231217390246,1,33.7110275647031,-2.71102756470309,-0.883952267104737,0.000740802855535439,0.00041427162690559,2.91910618532791,1,0,1,PASS
5,202609085,0.5,62,complete,30,32,5,12,45,6,18,0,0,0,2.52276510160806,0.022765101608055,0.479898722602614,-0.0201012773973861,2.31919644289061,2.72354869478745,1,0.339047511054762,0.751568110419997,1,29.518296626484,0.481703373516009,0.177213077026975,-0.00222874708243207,0.00144708105669888,0.0898299917205705,1,0,1,PASS
