budget,true_sigma,increment,floor_factor,single_reading_sd,reading_count,expected_average_sd,build_sd_factor,build_sd,repetitions,recorded_overlap_rate,actual_overlap_rate,false_overlap_rate,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_abs_record_error,mean_abs_build_error,mean_duplicates,mean_stage2_tests,seed
50,0.1,0.05,0,0.015,4,0.0075,0,0,300,0.96,0.96,0,0.000133390070489841,0.0248696761362264,-0.00612817906050394,0.0243161827373781,0.00598822013298368,0,36.4466666666667,6.87333333333333,20260912
50,0.1,0.05,1,0.015,4,0.0075,0,0,300,0.946666666666667,0.946666666666667,0,0.000935623317379056,0.0235075758942242,-0.0059722118931588,0.0242606572750694,0.00598822013298368,0,36.5466666666667,7.18,20260912
50,0.1,0.05,2,0.015,4,0.0075,0,0,300,1,1,0,-0.00038404271535418,0.0243485351281539,-0.00721375234928966,0.0247773901508531,0.00598822013298368,0,36.2733333333333,5.77,20260912
50,0.1,0.05,0,0.015,4,0.0075,0.25,0.0125,300,0.956666666666667,0.956666666666667,0,0.000914241161694023,0.0253331758666293,-0.00354808699682384,0.0234675094736489,0.00598822013298368,0.00992695529954324,36.4933333333333,6.96333333333333,20260912
50,0.1,0.05,1,0.015,4,0.0075,0.25,0.0125,300,0.97,0.97,0,7.33806458551799e-05,0.0270382837571901,-0.0042461611075962,0.0232871465541116,0.00598822013298368,0.00992695529954324,36.4666666666667,6.84333333333333,20260912
50,0.1,0.05,2,0.015,4,0.0075,0.25,0.0125,300,1,1,0,5.75280397117221e-06,0.0258073103178858,-0.00423378639496099,0.0233402821327045,0.00598822013298368,0.00992695529954324,36.19,5.74666666666667,20260912
50,0.1,0.05,0,0.015,4,0.0075,0.5,0.025,300,0.973333333333333,0.973333333333333,0,0.00330300724441351,0.0258274636590527,-0.00173701290139517,0.0251330730196254,0.00598822013298368,0.0198539105990865,36.0933333333333,6.77,20260912
50,0.1,0.05,1,0.015,4,0.0075,0.5,0.025,300,0.973333333333333,0.973333333333333,0,0.00250591584571966,0.0277084939876061,-0.000985897342676661,0.0244634210043355,0.00598822013298368,0.0198539105990865,36.1233333333333,6.75666666666667,20260912
50,0.1,0.05,2,0.015,4,0.0075,0.5,0.025,300,1,1,0,0.00272686708414953,0.0260772563983007,-0.00213693088221567,0.0253433849221954,0.00598822013298368,0.0198539105990865,35.9366666666667,6.19333333333333,20260912
50,0.1,0.1,0,0.015,4,0.0075,0,0,300,0.91,0.91,0,0.00122021776594412,0.0258576901635855,-0.00279092750198367,0.0220994010646327,0.005965666789949,0,39.8,12.5566666666667,20260912
50,0.1,0.1,1,0.015,4,0.0075,0,0,300,0.946666666666667,0.946666666666667,0,0.0010340547779811,0.0307067644001624,-0.00203081463293887,0.0241444095735285,0.005965666789949,0,39.6866666666667,12.5066666666667,20260912
50,0.1,0.1,2,0.015,4,0.0075,0,0,300,0.986666666666667,0.986666666666667,0,0.00134269254271778,0.0279105404867344,-0.00257909130213237,0.0213457011564512,0.005965666789949,0,39.47,11.2933333333333,20260912
50,0.1,0.1,0,0.015,4,0.0075,0.25,0.025,300,0.896666666666667,0.896666666666667,0,-0.00111516518781672,0.0257176336817943,-0.000400366547468719,0.0224320451206467,0.005965666789949,0.0198730565196321,39.9766666666667,13.0166666666667,20260912
50,0.1,0.1,1,0.015,4,0.0075,0.25,0.025,300,0.913333333333333,0.913333333333333,0,0.000508768099031439,0.0285400434423865,0.000169969365641904,0.0235459310155477,0.005965666789949,0.0198730565196321,39.9233333333333,14.44,20260912
50,0.1,0.1,2,0.015,4,0.0075,0.25,0.025,300,0.986666666666667,0.986666666666667,0,0.000935756874444717,0.0369385074040891,6.0575233053948e-05,0.0248575317417704,0.005965666789949,0.0198730565196321,39.6166666666667,11.5033333333333,20260912
50,0.1,0.1,0,0.015,4,0.0075,0.5,0.05,300,0.91,0.91,0,-0.00091142571457104,0.0297740669808908,0.00775619126555174,0.0258651168429488,0.005965666789949,0.0397461130392641,39.83,13.27,20260912
50,0.1,0.1,1,0.015,4,0.0075,0.5,0.05,300,0.963333333333333,0.963333333333333,0,-0.00120286777003103,0.0338134518738472,0.00781643388306195,0.0270563179656275,0.005965666789949,0.0397461130392641,39.6733333333333,12.7333333333333,20260912
50,0.1,0.1,2,0.015,4,0.0075,0.5,0.05,300,0.986666666666667,0.986666666666667,0,0.00137517019152497,0.0329533455850981,0.00878937837990354,0.0256446236898075,0.005965666789949,0.0397461130392641,39.4733333333333,11.6533333333333,20260912
50,0.2,0.05,0,0.015,4,0.0075,0,0,300,0.99,0.99,0,0.00465947689829746,0.0464750341125397,-0.0139475932551491,0.0492412559439167,0.00599761759535597,0,32.92,3.56666666666667,20260912
50,0.2,0.05,1,0.015,4,0.0075,0,0,300,0.99,0.99,0,0.00465947689829746,0.0464750341125397,-0.0139475932551491,0.0492412559439167,0.00599761759535597,0,32.92,3.56666666666667,20260912
50,0.2,0.05,2,0.015,4,0.0075,0,0,300,1,1,0,0.00437794234715902,0.0482579816083321,-0.0141804161108442,0.0488833146680349,0.00599761759535597,0,32.8266666666667,3.3,20260912
50,0.2,0.05,0,0.015,4,0.0075,0.25,0.0125,300,0.993333333333333,0.993333333333333,0,-0.00158629389718326,0.0457187603178299,-0.0173783494983945,0.0509486293433115,0.00599761759535597,0.00999522230744843,33.1366666666667,3.93333333333333,20260912
50,0.2,0.05,1,0.015,4,0.0075,0.25,0.0125,300,0.99,0.99,0,-0.000365175240355881,0.0441574044665904,-0.0174969295619276,0.0512432351889078,0.00599761759535597,0.00999522230744843,33.1466666666667,3.95,20260912
50,0.2,0.05,2,0.015,4,0.0075,0.25,0.0125,300,1,1,0,-0.00124475825457768,0.0439950471785228,-0.0162034479539634,0.0500885725074126,0.00599761759535597,0.00999522230744843,33.0033333333333,3.62666666666667,20260912
50,0.2,0.05,0,0.015,4,0.0075,0.5,0.025,300,0.996666666666667,0.996666666666667,0,0.00128510104151774,0.0473705017413116,-0.0140462270205947,0.0507667844011843,0.00599761759535597,0.0199904446148969,33.1933333333333,4.20666666666667,20260912
50,0.2,0.05,1,0.015,4,0.0075,0.5,0.025,300,0.986666666666667,0.986666666666667,0,0.00168550875387915,0.0474845223861809,-0.013943302330415,0.0505867366020225,0.00599761759535597,0.0199904446148969,33.29,4.56,20260912
50,0.2,0.05,2,0.015,4,0.0075,0.5,0.025,300,1,1,0,0.000618966734570101,0.0468947230642767,-0.0140754790249756,0.0503078754111302,0.00599761759535597,0.0199904446148969,33.12,3.93333333333333,20260912
50,0.2,0.1,0,0.015,4,0.0075,0,0,300,0.98,0.98,0,0.00137022407033196,0.0504642917713479,-0.011534481779035,0.0505621140091172,0.00598923651486721,0,38.01,6.14666666666667,20260912
50,0.2,0.1,1,0.015,4,0.0075,0,0,300,0.993333333333333,0.993333333333333,0,0.000934234464347963,0.0498225550440584,-0.0120909996244935,0.0510935794945434,0.00598923651486721,0,37.94,6.01666666666667,20260912
50,0.2,0.1,2,0.015,4,0.0075,0,0,300,0.996666666666667,0.996666666666667,0,0.000319522836783353,0.0506831678833815,-0.0120611624634753,0.0502256005728646,0.00598923651486721,0,37.93,5.69666666666667,20260912
50,0.2,0.1,0,0.015,4,0.0075,0.25,0.025,300,0.973333333333333,0.973333333333333,0,0.0012286290925509,0.0474190478052733,-0.0136193623000265,0.0509394992606919,0.00598923651486721,0.0198921951690748,38.01,6.38,20260912
50,0.2,0.1,1,0.015,4,0.0075,0.25,0.025,300,0.973333333333333,0.973333333333333,0,-0.0010165289013804,0.0502619636288493,-0.0147852232334166,0.0516999755659019,0.0059892365148672,0.0198921951690748,38.1,6.95333333333333,20260912
50,0.2,0.1,2,0.015,4,0.0075,0.25,0.025,300,1,1,0,0.00141816470928648,0.0495347812065079,-0.0142643777273914,0.0517650326912987,0.00598923651486721,0.0198921951690748,37.9333333333333,5.95,20260912
50,0.2,0.1,0,0.015,4,0.0075,0.5,0.05,300,0.97,0.97,0,0.00566810586164408,0.0515613607018578,-0.00405111780302871,0.0460519090661866,0.00598923651486721,0.0397843903381495,37.8666666666667,6.93,20260912
50,0.2,0.1,1,0.015,4,0.0075,0.5,0.05,300,0.983333333333333,0.983333333333333,0,0.00210974694749692,0.0556072687475606,-0.00369619889798345,0.0463211174803581,0.00598923651486721,0.0397843903381495,37.8933333333333,6.99333333333333,20260912
50,0.2,0.1,2,0.015,4,0.0075,0.5,0.05,300,1,1,0,0.00448642395401826,0.0514358726230615,-0.00528094341870011,0.0471937735025479,0.00598923651486721,0.0397843903381495,37.7233333333333,6.13333333333333,20260912
50,0.5,0.05,0,0.015,4,0.0075,0,0,300,0.996666666666667,0.996666666666667,0,0.00295128047557129,0.107177475751732,-0.0425471697517702,0.119530911561519,0.0059632160755205,0,24.7,3.08666666666667,20260912
50,0.5,0.05,1,0.015,4,0.0075,0,0,300,0.996666666666667,0.996666666666667,0,0.00295128047557129,0.107177475751732,-0.0425471697517702,0.119530911561519,0.0059632160755205,0,24.7,3.08666666666667,20260912
