budget,true_sigma,increment,floor_factor,single_reading_sd,reading_count,expected_average_sd,repetitions,recorded_overlap_rate,actual_overlap_rate,false_overlap_rate,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_abs_record_error,mean_duplicates,mean_stage2_tests,seed
50,0.1,0.05,0,0.015,4,0.0075,300,0.57,0.57,0,-0.000106318220051861,0.0223561349581974,-0.00482361322387868,0.0259206457199342,0.00593373508121482,40.6566666666667,23.72,20260912
50,0.1,0.05,1,0.015,4,0.0075,300,0.57,0.57,0,-0.000594367566482703,0.0220720968137817,-0.00496815549256454,0.0260728662485241,0.0059459017764861,40.66,23.8133333333333,20260912
50,0.1,0.05,2,0.015,4,0.0075,300,0.553333333333333,0.553333333333333,0,-0.000577419518451794,0.0219683301399657,-0.00524779712356791,0.0267891719969267,0.00599285861580581,40.8866666666667,24.3966666666667,20260912
50,0.1,0.05,0,0.015,5,0.00670820393249937,300,0.613333333333333,0.613333333333333,0,-0.000542061280525272,0.0256375495639474,-0.00923577420836375,0.0243823513809821,0.00517314564091273,40.26,21.7,20260912
50,0.1,0.05,1,0.015,5,0.00670820393249937,300,0.61,0.61,0,-0.000777459379516054,0.0253576256747306,-0.00966093736331645,0.0247954623844988,0.00511500664201756,40.2933333333333,21.83,20260912
50,0.1,0.05,2,0.015,5,0.00670820393249937,300,0.61,0.61,0,-0.000171771361716052,0.0259990032619238,-0.00987368904565284,0.0247770836598883,0.00514480503519641,40.4,21.81,20260912
50,0.1,0.1,0,0.015,4,0.0075,300,0.44,0.44,0,0.00302775885060798,0.0273883097076108,-0.0025983013444717,0.0228995100371614,0.00596573746353892,43.0533333333333,29.81,20260912
50,0.1,0.1,1,0.015,4,0.0075,300,0.5,0.5,0,0.000525363545911818,0.030540283660555,-0.0023262885846314,0.0222395750974543,0.00582755315734402,42.9566666666667,28.6,20260912
50,0.1,0.1,2,0.015,4,0.0075,300,0.443333333333333,0.443333333333333,0,0.00368873209320638,0.0277100102362628,-0.00356957589370425,0.0220472135475751,0.00593081752615624,43.7133333333333,30.0866666666667,20260912
50,0.1,0.1,0,0.015,5,0.00670820393249937,300,0.426666666666667,0.426666666666667,0,-0.00178088143156465,0.0228917180748143,0.00130832150358219,0.0275414131379231,0.00521913876418207,43.14,29.6266666666667,20260912
50,0.1,0.1,1,0.015,5,0.00670820393249937,300,0.486666666666667,0.486666666666667,0,-0.000524055098902913,0.0235266705677191,-0.00207397660676759,0.0248868926886257,0.00515534036474495,43.0866666666667,28.1533333333333,20260912
50,0.1,0.1,2,0.015,5,0.00670820393249937,300,0.463333333333333,0.463333333333333,0,-0.000232984569665848,0.0238674950909174,-0.00113195210371728,0.0236557682343161,0.00514699919336354,43.6266666666667,29.1366666666667,20260912
50,0.2,0.05,0,0.015,4,0.0075,300,0.656666666666667,0.656666666666667,0,-0.00246208582647411,0.0491454636772011,-0.0177242644291875,0.0523019484475235,0.00589764681473713,37.9733333333333,19.37,20260912
50,0.2,0.05,1,0.015,4,0.0075,300,0.663333333333333,0.663333333333333,0,-0.00263332838043051,0.0489741733686446,-0.0176426278675101,0.0520475350523555,0.00590264765086181,37.9166666666667,19.2033333333333,20260912
50,0.2,0.05,2,0.015,4,0.0075,300,0.636666666666667,0.636666666666667,0,-0.002178825461491,0.0487262723262552,-0.017523295213901,0.0519741817753363,0.00586073127283198,38.2733333333333,20.02,20260912
50,0.2,0.05,0,0.015,5,0.00670820393249937,300,0.63,0.63,0,-0.00194971960523901,0.0460650855393752,-0.0139618795644213,0.0484442390066732,0.00525674757634182,38.29,20.7933333333333,20260912
50,0.2,0.05,1,0.015,5,0.00670820393249937,300,0.63,0.63,0,-0.00313901923976761,0.0468330609347693,-0.014690802275072,0.0493909798451614,0.00526923353904656,38.3233333333333,20.9433333333333,20260912
50,0.2,0.05,2,0.015,5,0.00670820393249937,300,0.6,0.6,0,-0.00364201603480429,0.0472904768401474,-0.016983046381828,0.0506007322753779,0.00523880591476944,38.74,21.7533333333333,20260912
50,0.2,0.1,0,0.015,4,0.0075,300,0.566666666666667,0.566666666666667,0,0.00307140263860927,0.0468745721898666,-0.0144450479345722,0.0484218680738775,0.00614755192048849,41.75,23.56,20260912
50,0.2,0.1,1,0.015,4,0.0075,300,0.573333333333333,0.573333333333333,0,0.00542487489489383,0.0491851347528389,-0.0121885129609528,0.0470145027105171,0.00610223076756415,41.75,23.43,20260912
50,0.2,0.1,2,0.015,4,0.0075,300,0.503333333333333,0.503333333333333,0,0.0048055813282229,0.0472180244934245,-0.0128751548288037,0.0470669992049231,0.00618583611834263,42.56,25.8366666666667,20260912
