budget,true_sigma,increment,floor_factor,single_reading_sd,reading_count,expected_average_sd,build_sd_factor,build_sd,repetitions,recorded_overlap_rate,actual_overlap_rate,false_overlap_rate,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_abs_record_error,mean_abs_build_error,mean_duplicates,mean_stage2_tests,seed
20,0.1,0.05,0,0.03,4,0.015,0,0,300,0.953333333333333,0.953333333333333,0,0.0028867568465993,0.0477499716940076,-0.0101161175247778,0.0384379533785448,0.0121288828453128,0,7.79,5.17666666666667,20260912
20,0.1,0.05,1,0.03,4,0.015,0,0,300,0.95,0.95,0,0.00311022935069138,0.0476978836987665,-0.0101090450198482,0.0384986229292431,0.0121288828453128,0,7.79333333333333,5.18,20260912
20,0.1,0.05,2,0.03,4,0.015,0,0,300,0.956666666666667,0.956666666666667,0,-5.55198658315296e-05,0.0461374646946087,-0.00938479932039333,0.0373999123621402,0.0121288828453128,0,7.80666666666667,5.19,20260912
20,0.1,0.05,0,0.03,4,0.015,0.25,0.0125,300,0.953333333333333,0.953333333333333,0,0.00431703423104138,0.0532780698188174,-0.0058317177041279,0.0429094941976422,0.0121288828453128,0.00998170117836461,8.00666666666667,5.41666666666667,20260912
20,0.1,0.05,1,0.03,4,0.015,0.25,0.0125,300,0.953333333333333,0.953333333333333,0,0.00431703423030919,0.0532780697876872,-0.00583171770409199,0.0429094941998011,0.0121288828453128,0.00998170117836461,8.00666666666667,5.41666666666667,20260912
20,0.1,0.05,2,0.03,4,0.015,0.25,0.0125,300,0.936666666666667,0.94,0,0.00128975079867842,0.056222423882178,-0.00352593372453587,0.0438204632450694,0.0121288828453128,0.00998170117836461,8.01333333333333,5.45333333333333,20260912
20,0.1,0.05,0,0.03,4,0.015,0.5,0.025,300,0.94,0.946666666666667,0,0.00395817446009922,0.0534402412013773,0.00317112179420746,0.0451140475121796,0.0121288828453128,0.0199634023567292,7.73333333333333,5.31666666666667,20260912
20,0.1,0.05,1,0.03,4,0.015,0.5,0.025,300,0.94,0.946666666666667,0,0.00395817443743927,0.0534402411031673,0.00317112178303349,0.0451140474662809,0.0121288828453128,0.0199634023567292,7.73333333333333,5.31666666666667,20260912
20,0.1,0.05,2,0.03,4,0.015,0.5,0.025,300,0.946666666666667,0.946666666666667,0,-0.000502079090123361,0.0540354740245466,0.00341063755288992,0.0443713150215415,0.0121288828453128,0.0199634023567292,7.71333333333333,5.30333333333333,20260912
20,0.1,0.1,0,0.03,4,0.015,0,0,300,0.76,0.76,0,0.00827074430833014,0.0551677847484993,0.0185581430818177,0.0418304109706961,0.0120083883613926,0,10.86,9.14,20260912
