budget,true_sigma,increment,floor_factor,single_reading_sd,reading_count,expected_average_sd,repetitions,recorded_overlap_rate,actual_overlap_rate,false_overlap_rate,mu_bias,mu_rmse,sigma_bias,sigma_rmse,mean_abs_record_error,mean_duplicates,mean_stage2_tests,seed
50,0.1,0.05,0,0.015,4,0.0075,300,0.96,0.96,0,0.000608209937218906,0.0253126800531219,-0.00548389212142917,0.024799071322576,0.00594608940547218,36.3633333333333,7.03333333333333,20260912
50,0.1,0.05,1,0.015,4,0.0075,300,0.936666666666667,0.936666666666667,0,0.00105908854520958,0.024683351516245,-0.00502765569302016,0.0244757078346999,0.00592664687005105,36.51,7.66666666666667,20260912
50,0.1,0.05,2,0.015,4,0.0075,300,0.996666666666667,0.996666666666667,0,1.61283616270604e-05,0.0250641124758396,-0.00613996303313533,0.0250312685605516,0.00600068724211101,36.1666666666667,6.14333333333333,20260912
50,0.1,0.05,0,0.015,5,0.00670820393249937,300,0.986666666666667,0.986666666666667,0,0.001368937362822,0.0252159709619945,-0.00768799813467676,0.0264094193659044,0.00543244326586801,36.24,5.97666666666667,20260912
50,0.1,0.05,1,0.015,5,0.00670820393249937,300,0.966666666666667,0.966666666666667,0,0.00103999661891364,0.0244783418175222,-0.00748162226208859,0.026162765074948,0.00540774816722936,36.3533333333333,6.43666666666667,20260912
50,0.1,0.05,2,0.015,5,0.00670820393249937,300,1,1,0,-8.180418118231e-05,0.0293522471552014,-0.0072211515210968,0.0262799593821091,0.00538724836085156,36.19,5.7,20260912
50,0.1,0.1,0,0.015,4,0.0075,300,0.906666666666667,0.906666666666667,0,0.00236945930698336,0.0264004647464557,-0.00469604090545875,0.0235180645804663,0.00610697517507345,39.7233333333333,12.4566666666667,20260912
50,0.1,0.1,1,0.015,4,0.0075,300,0.95,0.95,0,-0.0013991991980976,0.0322967359989785,-0.00208602284838764,0.0258330229747527,0.00605582847077731,39.57,12.04,20260912
50,0.1,0.1,2,0.015,4,0.0075,300,0.976666666666667,0.976666666666667,0,0.00112926176975303,0.0254997354315613,-0.00363542864472219,0.0235558273735827,0.00603318541892057,39.4533333333333,10.8666666666667,20260912
50,0.1,0.1,0,0.015,5,0.00670820393249937,300,0.886666666666667,0.886666666666667,0,-0.000966214962376139,0.041013881854605,-0.00419282463518155,0.0233983050730582,0.0055098253334208,39.8866666666667,13.5566666666667,20260912
50,0.1,0.1,1,0.015,5,0.00670820393249937,300,0.94,0.94,0,4.44835881493316e-05,0.0300372452807883,-0.00401683593831769,0.0229589037782451,0.00547272638009381,39.6833333333333,12.6566666666667,20260912
50,0.1,0.1,2,0.015,5,0.00670820393249937,300,0.97,0.97,0,9.11217929066816e-05,0.0326987081665203,-0.00354779632667242,0.0236995105469798,0.00539904740550284,39.55,11.8733333333333,20260912
50,0.2,0.05,0,0.015,4,0.0075,300,0.983333333333333,0.983333333333333,0,-0.00191561151390791,0.046598819582176,-0.0160598867557105,0.0491785029445549,0.00603847162281802,33.22,4.29,20260912
50,0.2,0.05,1,0.015,4,0.0075,300,0.99,0.99,0,-0.0018966881111947,0.0463365481455094,-0.016184622518792,0.0494361472274224,0.00602950515053982,33.1666666666667,4.17333333333333,20260912
